name,sku,category,price_m,pos_category_name,exists_in_odoo,odoo_tmpl_id,available_in_pos
招牌咖啡,QC_P_39095596,義式咖啡,85.0,義式咖啡,True,2,True
特調咖啡,QC_P_39095597,義式咖啡,75.0,義式咖啡,True,34,True
咖啡拿鐵,QC_P_39095598,義式咖啡,90.0,義式咖啡,True,35,True
風味拿鐵,QC_P_39095603,義式咖啡,105.0,義式咖啡,True,36,True
美式黑咖啡,QC_P_39095599,義式咖啡,70.0,義式咖啡,True,37,True
卡布奇諾,QC_P_39095600,義式咖啡,90.0,義式咖啡,True,38,True
瑪奇朵,QC_P_39095601,義式咖啡,110.0,義式咖啡,True,39,True
愛爾蘭威士忌咖啡,QC_P_39095595,義式咖啡,105.0,義式咖啡,True,40,True
摩卡奇諾咖啡,QC_P_39095602,義式咖啡,105.0,義式咖啡,True,41,True
岩鹽玫瑰,None,義式咖啡,105.0,義式咖啡,True,42,True
初戀西西里,None,義式咖啡,90.0,義式咖啡,True,43,True
耶加雪夫,QC_P_39095604,單品手沖,110.0,單品手沖,True,44,True
藍山風味咖啡,QC_P_39095619,單品手沖,100.0,單品手沖,True,45,True
黃金曼特寧,QC_P_39095617,單品手沖,110.0,單品手沖,True,46,True
曼巴咖啡,QC_P_39095621,單品手沖,100.0,單品手沖,True,47,True
肯亞AA,None,單品手沖,110.0,單品手沖,True,48,True
小沙彌素齋飯,QC_P_49180033,聊國簡餐,130.0,聊國簡餐,True,49,True
黑胡椒豬柳飯(辣),QC_P_49180043,聊國簡餐,130.0,聊國簡餐,True,50,True
黑胡椒雞柳飯(辣),QC_P_49180057,聊國簡餐,130.0,聊國簡餐,True,51,True
香草起司雞丁飯,QC_P_49180068,聊國簡餐,135.0,聊國簡餐,True,52,True
醬燒牛培根丼飯,None,聊國簡餐,230.0,聊國簡餐,True,53,True
醬燒無骨雞腿飯,None,聊國簡餐,230.0,聊國簡餐,True,54,True
醬燒松阪豬肉丼飯,None,聊國簡餐,235.0,聊國簡餐,True,55,True
黑胡椒牛柳飯(辣),None,聊國簡餐,135.0,聊國簡餐,True,56,True
錫蘭紅茶🔴,QC_P_39095620,茶,45.0,茶,True,57,True
錫蘭奶茶🔴,QC_P_39095610,茶,50.0,茶,True,58,True
錫蘭鮮奶茶🔴🐄,QC_P_39095608,茶,65.0,茶,True,59,True
錫蘭奶蓋🔴🥛🧈,QC_P_49180061,茶,65.0,茶,True,60,True
茉莉綠茶🟢,QC_P_39095606,茶,45.0,茶,True,61,True
茉莉奶茶🟢,QC_P_39095609,茶,50.0,茶,True,62,True
茉莉鮮奶茶🟢🐄,QC_P_39095607,茶,65.0,茶,True,63,True
茉莉奶蓋🟢🥛🧈,QC_P_49180084,茶,65.0,茶,True,64,True
伯爵紅茶🟤,QC_P_49180087,茶,50.0,茶,True,65,True
伯爵奶茶🟤,QC_P_49180090,茶,60.0,茶,True,66,True
伯爵鮮奶茶🟤🐄,QC_P_49180093,茶,70.0,茶,True,67,True
伯爵奶蓋🟤🥛🧈,QC_P_49180095,茶,70.0,茶,True,68,True
檸檬汁,QC_P_39095611,無咖啡因,50.0,無咖啡因,True,69,True
話梅檸檬,QC_P_39095616,無咖啡因,55.0,無咖啡因,True,70,True
金桔檸檬,QC_P_39095612,無咖啡因,55.0,無咖啡因,True,71,True
蔓越莓蘋果茶,QC_P_39095613,無咖啡因,60.0,無咖啡因,True,72,True
松露巧克力,QC_P_39095614,無咖啡因,60.0,無咖啡因,True,73,True
鮮奶抹茶,QC_P_39095615,無咖啡因,60.0,無咖啡因,True,74,True
綠茶多多,QC_P_49180082,無咖啡因,60.0,無咖啡因,True,75,True
檸檬多多,QC_P_49180085,無咖啡因,60.0,無咖啡因,True,76,True
金桔多多,QC_P_49180088,無咖啡因,65.0,無咖啡因,True,77,True
蔓越莓多多,QC_P_49180092,無咖啡因,65.0,無咖啡因,True,78,True
蒸氣牛奶,QC_P_39095618,無咖啡因,60.0,無咖啡因,True,79,True
仲夏海鹽檸檬,None,無咖啡因,65.0,無咖啡因,True,80,True
百香戀乳,None,無咖啡因,70.0,無咖啡因,True,81,True
貝果,QC_P_39095623,點心,50.0,點心,True,82,True
厚片,QC_P_49180060,點心,45.0,點心,True,83,True
精選曼巴,QC_P_39095626,咖啡豆,280.0,咖啡豆,True,84,True
精品藍山風味咖啡,QC_P_39095637,咖啡豆,290.0,咖啡豆,True,85,True
招牌咖啡豆,QC_P_39095627,咖啡豆,250.0,咖啡豆,True,86,True
曼特寧,QC_P_39095629,咖啡豆,280.0,咖啡豆,True,87,True
耶加雪夫濾掛,QC_P_39095630,濾掛咖啡,400.0,None,False,None,None
精選藍山咖啡,QC_P_39095631,濾掛咖啡,320.0,None,False,None,None
曼特寧濾掛,QC_P_39095632,濾掛咖啡,320.0,None,False,None,None
曼巴咖啡濾掛,QC_P_39095633,濾掛咖啡,310.0,None,False,None,None
招牌濾掛咖啡,QC_P_39095634,濾掛咖啡,280.0,None,False,None,None
